Geo Name,2017,2018,2019,2020,2021,2022,code,Before,During,After,Total Mean,pre-during delta,during-after delta
Alabama,25244885.0,25822118.0,26400151.0,25491382.0,26197999.0,26720248.0,AL,26111134.5,25844690.5,26720248.0,31175356.6,-0.010204229157488351,0.03387765467727308
Alaska,4044.968,4008.1549999999997,4001.2349999999997,3817.886,3965.907,4108.677,AK,4004.6949999999997,3891.8965,4108.677,4789.3656,-0.028166564494924055,0.05570047918797426
Arizona,36951033.0,37989206.0,39192738.0,38384811.0,40230666.0,41709574.0,AZ,38590972.0,39307738.5,41709574.0,46891605.6,0.018573424375006673,0.06110337535699237
Arkansas,15572896.0,15536565.0,15686988.0,15163215.0,15426359.0,15887086.0,AR,15611776.5,15294787.0,15887086.0,18654621.8,-0.02030451178954554,0.038725547469212876
California,219067498.0,221607107.0,223443620.0,204501879.0,211055798.0,221255470.0,CA,222525363.5,207778838.5,221255470.0,260186274.4,-0.0662689626389488,0.0648604621976458
Colorado,34625967.0,35535168.0,36276240.0,34550311.0,35838759.0,37240817.0,CO,35905704.0,35194535.0,37240817.0,42813452.4,-0.01980657446516019,0.05814203824542646
Connecticut,22060786.0,22186302.0,22428740.0,20806363.0,20869311.0,22231526.0,CT,22307521.0,20837837.0,22231526.0,26116605.6,-0.06588289214207173,0.06688261358412584
Delaware,5447.235,5549.219,5605.708,5398.454,5602.624,5691.896,DE,5577.4635,5500.539,5691.896,6659.0271999999995,-0.013792022126186946,0.034788772518475
Florida,114526024.0,116978266.0,119434406.0,111460727.0,118478898.0,125360507.0,FL,118206336.0,114969812.5,125360507.0,141247765.6,-0.027380287804538668,0.09037758933459164
Georgia,58373427.0,59059610.0,59717489.0,57184420.0,59743438.0,60889545.0,GA,59388549.5,58463929.0,60889545.0,70993585.8,-0.015569002910232721,0.04148910347780424
Hawaii,8157.988,8107.9039999999995,8027.076,7030.563999999999,7556.735000000001,7833.835,HI,8067.49,7293.6494999999995,7833.835,9342.8204,-0.09592085022727022,0.07406244295122771
Idaho,9752.117,10052.496,10357.173,10225.9,10719.675,11101.811,ID,10204.8345,10472.787499999999,11101.811,12441.834400000002,0.026257456698587093,0.06006266240005359
Illinois,74839190.0,75247295.0,75471032.0,69081177.0,71778630.0,74137129.0,IL,75359163.5,70429903.5,74137129.0,88110890.6,-0.06541022711856402,0.052637094696573024
Indiana,38596856.0,39326667.0,39494299.0,37216639.0,38708776.0,39634736.0,IN,39410483.0,37962707.5,39634736.0,46595594.6,-0.036735796919819534,0.04404397394469296
Iowa,19747550.0,20011407.0,20360626.0,19042727.0,19519198.0,20039934.0,IA,20186016.5,19280962.5,20039934.0,23744288.4,-0.044835691083478506,0.03936377657495055
Kansas,17212817.0,17316646.0,17464419.0,16980405.0,17417358.0,17576702.0,KS,17390532.5,17198881.5,17576702.0,20793669.4,-0.01102042160008614,0.021967736681016148
Kentucky,23457817.0,23592872.0,23804292.0,22631810.0,23244948.0,23628561.0,KY,23698582.0,22938379.0,23628561.0,28072060.0,-0.03207799521507236,0.030088525435908092
Louisiana,24000526.0,24091282.0,24096256.0,22639332.0,23504773.0,24137028.0,LA,24093769.0,23072052.5,24137028.0,28493839.4,-0.04240583945168562,0.04615868050751011
Maine,8160.982,8142.467000000001,8129.89,7638.796,7840.156,7862.586,ME,8136.1785,7739.476000000001,7862.586,9554.975400000001,-0.0487578412887573,0.015906761646395654
Maryland,37372822.0,37751875.0,38656232.0,36361957.0,36067272.0,36816423.0,MD,38204053.5,36214614.5,36816423.0,44605316.2,-0.052074029264983626,0.01661783532170417
Massachusetts,42985339.0,44227169.0,44704980.0,40775281.0,42436602.0,43247221.0,MA,44466074.5,41605941.5,43247221.0,51675318.4,-0.06432168866176842,0.03944819996442095
Michigan,56224102.0,56861578.0,57284128.0,52524507.0,54021115.0,55600456.0,MI,57072853.0,53272811.0,55600456.0,66503177.2,-0.06658230314857398,0.043692926209581845
Minnesota,35560416.0,35783684.0,36096810.0,35233531.0,35095944.0,35947592.0,MN,35940247.0,35164737.5,35947592.0,42743595.4,-0.02157774541727551,0.022262486674328223
Mississippi,14470621.0,14459590.0,14496494.0,13765279.0,14244186.0,14429807.0,MS,14478042.0,14004732.5,14429807.0,17173195.4,-0.03269154074839678,0.03035220415670203
Missouri,35269677.0,35397320.0,35709522.0,34214362.0,35107091.0,35807881.0,MO,35553421.0,34660726.5,35807881.0,42301170.6,-0.02510854018801735,0.03309666633790841
Montana,6081.941,6181.102,6297.789,6160.245,6383.649,6634.098,MT,6239.4455,6271.947,6634.098,7547.7648,0.005209036604294453,0.05774139991935516
Nebraska,11912.36,11075850.353,12225750.0,8109088.728,12256935.0,12409042.0,NE,11650800.1765,10183011.864,12409042.0,11217715.6882,-0.12598176007349018,0.21860233158223882
Nevada,16462100.0,17150349.0,17793723.0,15629782.0,16749700.0,17597212.0,NV,17472036.0,16189741.0,17597212.0,20276573.2,-0.07339127506376475,0.08693598001351596
New Hampshire,8842.803,9001.539,9125.302,8556.742,8773.638,8968.872,NH,9063.4205,8665.19,8968.872,10653.779199999999,-0.043938212951721664,0.035046202102896634
New Jersey,52867732.0,53042039.0,54296763.0,50531509.0,52284477.0,54785313.0,NJ,53669401.0,51407993.0,54785313.0,63561566.6,-0.04213589043037764,0.06569639861256595
New Mexico,10690.538,10778.837,10904.626,10295.142,10521.016,10907.044,NM,10841.7315,10408.079,10907.044,12819.4406,-0.03999845412146576,0.047940162637120656
New York,112583573.0,113063759.0,113731004.0,103666510.0,106674760.0,110494834.0,NY,113397381.5,105170635.0,110494834.0,132042888.0,-0.07254794062418451,0.05062438769148822
North Carolina,55752157.0,56591347.0,57606384.0,53874203.0,56561422.0,59658227.0,NC,57098865.5,55217812.5,59658227.0,68008748.0,-0.03294378939980865,0.08041634209975268
North Dakota,4858.854,4826.043,4856.936,4672.396,4756.7119999999995,4867.037,ND,4841.4895,4714.554,4867.037,5767.5956,-0.02621827435544363,0.03234303817497905
Ohio,66340477.0,66704550.0,67599905.0,63335824.0,65224388.0,66140433.0,OH,67152227.5,64280106.0,66140433.0,79069115.4,-0.0427703086989929,0.028940944808025053
Oklahoma,21034485.0,21249843.0,21388282.0,20700498.0,21431517.0,21954039.0,OK,21319062.5,21066007.5,21954039.0,25551732.8,-0.011869893434572933,0.04215471298963508
Oregon,23904248.0,23960664.0,24197666.0,23358971.0,24440014.0,25027823.0,OR,24079165.0,23899492.5,25027823.0,28977877.2,-0.007461741302075882,0.04721148367481025
Pennsylvania,73931174.0,74659853.0,75457277.0,71176715.0,72715933.0,74345529.0,PA,75058565.0,71946324.0,74345529.0,88457296.2,-0.04146416867948381,0.03334715196845915
Rhode Island,6509.224,6594.236,6648.5740000000005,6214.041,6481.343,6619.429,RI,6621.405000000001,6347.692,6619.429,7813.3694000000005,-0.04133760130969192,0.04280878782398391
South Carolina,26001109.0,26456913.0,27120455.0,26334082.0,27136034.0,27573906.0,SC,26788684.0,26735058.0,27573906.0,32124499.8,-0.002001815393395211,0.031376329911085285
South Dakota,5297.169,5356.459,5416.386,5337.167,5486.946,5582.611,SD,5386.422500000001,5412.056500000001,5582.611,6495.3476,0.004759002844652459,0.03151380625830481
Tennessee,36922153.0,37729707.0,38687861.0,36652387.0,38114831.0,38883673.0,TN,38208784.0,37383609.0,38883673.0,45398122.4,-0.021596473732322912,0.04012624891299286
Texas,154646901.0,158118285.0,161182225.0,154517887.0,162071624.0,169079935.0,TX,159650255.0,158294755.5,169079935.0,191923371.4,-0.008490431161541207,0.0681335238551223
Utah,18062460.0,18458381.0,18932388.0,18808021.0,19698215.0,20425294.0,UT,18695384.5,19253118.0,20425294.0,22876951.8,0.029832684104464394,0.0608823983730843
Vermont,4135.687,4158.755,4151.757,3844.877,3880.991,3997.367,VT,4155.255999999999,3862.934,3997.367,4833.8868,-0.07034993752490803,0.03480074989632233
Virginia,50316404.0,50728131.0,51508823.0,48734155.0,49955399.0,51697557.0,VA,51118477.0,49344777.0,51697557.0,60588093.8,-0.03469782560227684,0.04768042623842438
Washington,42650756.0,43748942.0,45207996.0,43227924.0,44350746.0,45858967.0,WA,44478469.0,43789335.0,45858967.0,53009066.2,-0.015493653794603407,0.04726338045553786
West Virginia,8924.676,9029.457,9074.213,8583.953,8870.705,9052.054,WV,9051.835,8727.329,9052.054,10707.011600000002,-0.03584974759261514,0.03720783300366015
Wisconsin,36471642.0,36362834.0,36153301.0,34757979.0,35781234.0,35905761.0,WI,36258067.5,35269606.5,35905761.0,43086550.2,-0.027261822489574216,0.018036903814053044
Wyoming,3373.435,3368.788,3389.4629999999997,3316.66,3309.433,3375.9880000000003,WY,3379.1255,3313.0465,3375.9880000000003,4026.7534,-0.01955505943771552,0.018998073223542248
